"","age_years","gender3_factor","education_factor_7type","Ethnicity","vote_choice","vote2020","ideology"
"1",56,"Male","High School or GED","Cambodian","Joe Biden",1,"Somewhat Liberal"
"2",31,"Male","Bachelors 4-yr","Filipino","Joe Biden",1,"Somewhat Liberal"
"3",40,"Male","Post-graduate","Filipino","Joe Biden",1,"Moderate"
"4",32,"Female","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Very Liberal"
"5",70,"Female","Post-graduate","Thai","Joe Biden",1,"Somewhat Liberal"
"6",41,"Male","Post-graduate","Filipino","Joe Biden",1,"Very Liberal"
"7",66,"Male","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Somewhat Liberal"
"8",36,"Male","Bachelors 4-yr","Filipino","Joe Biden",1,"Somewhat Liberal"
"9",63,"Male","Post-graduate","Filipino","Donald Trump",1,"Somewhat Conservative"
"10",80,"Female","Some college","Filipino","Joe Biden",1,"Moderate"
"11",20,"Female","Some college","Vietnamese","Joe Biden",1,"Somewhat Liberal"
"12",37,"Male","Bachelors 4-yr","Filipino","Joe Biden",1,"Somewhat Liberal"
"13",49,"Female","Post-graduate","Thai","Joe Biden",1,"Moderate"
"14",32,"Female","Bachelors 4-yr","Filipino","Joe Biden",1,"Somewhat Liberal"
"15",34,"Female","Associates 2-yr","Filipino","Joe Biden",1,"Somewhat Liberal"
"16",37,"Male","High School or GED","Filipino","Joe Biden",1,"Moderate"
"17",39,"Male","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Somewhat Liberal"
"18",38,"Male","Bachelors 4-yr","Filipino","Joe Biden",1,"Moderate"
"19",65,"Male","Post-graduate","Filipino","Donald Trump",1,"Somewhat Conservative"
"20",56,"Female","Bachelors 4-yr","Thai","Donald Trump",1,"Moderate"
"21",73,"Female","Bachelors 4-yr","Filipino","Donald Trump",1,"Somewhat Conservative"
"22",38,"Male","Post-graduate","Filipino","Joe Biden",1,"Somewhat Liberal"
"23",28,"Female","Post-graduate","Filipino","Joe Biden",1,"Very Liberal"
"24",19,"Female","Some college","Vietnamese","Joe Biden",1,"Very Liberal"
"25",33,"Female","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Moderate"
"26",22,"Male","Associates 2-yr","Vietnamese","Joe Biden",1,"Very Conservative"
"27",23,"Male","Some college","Thai","Howie Hawkins",1,"Very Conservative"
"28",41,"Female","Bachelors 4-yr","Filipino","Joe Biden",1,"Somewhat Liberal"
"29",69,"Male","Some college","Vietnamese","Jo Jorgensen",0,"Moderate"
"30",39,"Female","Post-graduate","Filipino","Donald Trump",1,"Somewhat Conservative"
"31",22,"Male","Some college","Cambodian","Joe Biden",1,"Somewhat Liberal"
"32",30,"Female","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Somewhat Conservative"
"33",36,"Female","Bachelors 4-yr","Filipino","Joe Biden",1,"Very Liberal"
"34",45,"Female","Bachelors 4-yr","Filipino","Joe Biden",1,"Moderate"
"35",38,"Male","Post-graduate","Filipino","Joe Biden",1,"Somewhat Liberal"
"36",48,"Male","Post-graduate","Vietnamese","Joe Biden",1,"Somewhat Liberal"
"37",41,"Male","Post-graduate","Lao","Joe Biden",1,"Somewhat Liberal"
"38",49,"Female","Some college","Filipino","Joe Biden",1,"Moderate"
"39",45,"Male","Bachelors 4-yr","Filipino","Joe Biden",1,"Moderate"
"40",40,"Female","Bachelors 4-yr","Filipino","Donald Trump",1,"Somewhat Conservative"
"41",40,"Female","Bachelors 4-yr","Filipino","Joe Biden",1,"Moderate"
"42",45,"Male","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Somewhat Liberal"
"43",45,"Male","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Somewhat Liberal"
"44",22,"Female","Bachelors 4-yr","Filipino","Joe Biden",1,"Somewhat Liberal"
"45",49,"Male","Bachelors 4-yr","Filipino","Joe Biden",1,"Very Liberal"
"46",42,"Female","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Very Conservative"
"47",44,"Female","Post-graduate","Filipino","Donald Trump",1,"Somewhat Conservative"
"48",36,"Female","Bachelors 4-yr","Filipino","Joe Biden",1,"Somewhat Liberal"
"49",34,"Male","Associates 2-yr","Vietnamese","Donald Trump",1,"Somewhat Conservative"
"50",21,"Female","Associates 2-yr","Vietnamese","Joe Biden",1,"Moderate"
"51",41,"Female","Post-graduate","Vietnamese","Joe Biden",1,"Moderate"
"52",61,"Male","Bachelors 4-yr","Vietnamese","Donald Trump",1,"Moderate"
"53",39,"Female","Some college","Vietnamese","Joe Biden",1,"Moderate"
"54",23,"Female","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Somewhat Liberal"
"55",65,"Male","Post-graduate","Vietnamese","Donald Trump",1,"Very Conservative"
"56",65,"Male","Post-graduate","Vietnamese","Donald Trump",1,"Very Conservative"
"57",43,"Female","Bachelors 4-yr","Thai","Donald Trump",1,"Moderate"
"58",35,"Female","Post-graduate","Vietnamese","Donald Trump",1,"Moderate"
"59",45,"Female","Bachelors 4-yr","Filipino","Joe Biden",1,"Moderate"
"60",60,"Female","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Moderate"
"61",59,"Male","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Moderate"
"62",34,"Female","Post-graduate","Vietnamese","Donald Trump",1,"Moderate"
"63",53,"Male","High School or GED","Cambodian","Joe Biden",0,"Somewhat Conservative"
"64",50,"Female","Some college","Filipino","Joe Biden",1,"Moderate"
"65",71,"Female","Some college","Filipino","Joe Biden",1,"Moderate"
"66",47,"Female","Bachelors 4-yr","Filipino","Joe Biden",1,"Moderate"
"67",38,"Male","High School or GED","Filipino","Joe Biden",1,"Moderate"
"68",33,"Female","Post-graduate","Filipino","Joe Biden",1,"Moderate"
"69",44,"Male","Bachelors 4-yr","Vietnamese","Joe Biden",1,"Moderate"
"70",47,"Female","Bachelors 4-yr","Filipino","Joe Biden",1,"Somewhat Liberal"
"71",55,"Male","Post-graduate","Filipino","Joe Biden",1,"Somewhat Liberal"
"72",46,"Female","Bachelors 4-yr","Vietnamese","Joe Biden",0,"Somewhat Conservative"
"73",48,"Male","Bachelors 4-yr","Filipino","Donald Trump",1,"Somewhat Conservative"
"74",57,"Female","Post-graduate","Filipino","Joe Biden",1,"Moderate"
"75",21,"Female","Some college","Vietnamese","Joe Biden",1,"Somewhat Liberal"
"76",28,"Female","Post-graduate","Vietnamese","Someone Else",1,"Very Conservative"
"77",68,"Female","Bachelors 4-yr","Filipino","Donald Trump",1,"Moderate"
"78",63,"Female","Some college","Filipino","Joe Biden",1,"Very Liberal"
"79",77,"Female","Bachelors 4-yr","Filipino","Joe Biden",1,"Moderate"
"80",50,"Male","High School or GED","Cambodian","Donald Trump",0,"Moderate"
"81",43,"Male","Post-graduate","Vietnamese","Donald Trump",1,"Moderate"
"82",26,"Female","Post-graduate","Filipino","Joe Biden",1,"Moderate"
"83",36,"Male","Bachelors 4-yr","Thai","Joe Biden",1,"Somewhat Liberal"
"84",34,"Female","Bachelors 4-yr","Vietnamese","Jo Jorgensen",0,"Moderate"
"85",44,"Female","Bachelors 4-yr","Filipino","Joe Biden",1,"Somewhat Liberal"
"86",53,"Female","Associates 2-yr","Vietnamese","Donald Trump",1,"Moderate"
"87",34,"Female","Some college","Thai","Donald Trump",1,"Somewhat Conservative"
"88",32,"Male","Post-graduate","Filipino","Joe Biden",1,"Very Liberal"
"89",62,"Male","Post-graduate","Vietnamese","Joe Biden",1,"Moderate"
"90",87,"Female","Grades 1-8","Filipino","Joe Biden",1,"Moderate"
"91",43,"Male","Some college","Filipino","Joe Biden",1,"Moderate"
